통합키,회사명,공고제목,직무,직무상세,직무키워드,담당업무,자격요건,우대사항,직종,업종,직급직책,근무시간,급여,채용인원,채용인원구분,학력,상세주소,경력구분,최소연차,고용형태표준,시도,시군구,기술스택,마감일,마감구분,게재사이트수,게재사이트,대표URL,전체URL,수집시각,부산판정근거,부산판정확실도
KR2026090700000292,주식회사 정진설비,양산 사송 A-7BL 공동주택 신축공사 (LH) 안전관리자 채용,"엔지니어링, 설비, 안전관리",,,,,,,2026년 건축/안전/토목/경영/BIM 경력사원 모집,,,조건 고등학교 졸업,,없음,,,경력,2,계약직,부산,부산광역시,,,상시,1,건설워커,https://www.worker.co.kr/job/view.asp?jobid=eng&no=1412826,https://www.worker.co.kr/job/view.asp?jobid=eng&no=1412826,2026-09-07 20:27:30,시도=부산,강
KR2026090700000302,부산도시공사,2026년 하반기 부산도시공사 직원 모집공고,"엔지니어링, 설비, 시공, 직원",,,,,,,[KR산업] PJT 현장직 모집 (건축/시공/공무/품질..,,,,,없음,,,무관,0,정규직,부산,부산광역시,,2026-09-23,기한,1,건설워커,https://www.worker.co.kr/job/view.asp?jobid=eng&no=1413004,https://www.worker.co.kr/job/view.asp?jobid=eng&no=1413004,2026-09-07 20:27:37,시도=부산,강
KR2026090700000303,부산항만공사,부산항만공사 정규직(신입) 채용 공고,"엔지니어링, 설비, 항만",,,,,"취업지원대상자, 장애인, 중증장애인, 저소득층, 다문화가족, 북한이탈주민, 자립준비청년, 우수인턴 채용기간 26.09.02 ~ 26.09.17 등록일 2026.09.02 '부산항만공사' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,,,,정보 신입 / 평균 채용인원 11명,,없음,,,신입,0,정규직,부산,부산광역시,,2026-09-17,기한,2,"건설워커, 잡알리오",https://www.worker.co.kr/job/view.asp?jobid=eng&no=1413009,https://www.worker.co.kr/job/view.asp?jobid=eng&no=1413009 | https://job.alio.go.kr/recruitview.do?idx=304555,2026-09-07 20:27:37,시도=부산,강
KR2026090700000816,영화진흥위원회,2026년 대체인력(일반사무)-1 공개채용 공고,"인력, 사무, 일반사무",,,,,"취업지원대상자, 장애인 채용기간 26.09.02 ~ 26.09.17 등록일 2026.09.02 '영화진흥위원회' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,협회·단체,,,정보 신입 / 평균 채용인원 1명,1,명시,학력무관,,신입,0,계약직,부산,해운대구,,2026-09-17,기한,4,"잡알리오, 나라일터, 사람인, 부산일자리정보망",https://www.busanjob.net/view.do?no=1308&pgMode=show&id=815866,https://www.gojobs.go.kr/apmView.do?empmnsn=302637&searchJobsecode=020&menuNo=401 | https://www.gojobs.go.kr/apmView.do?empmnsn=302634&searchJobsecode=020&menuNo=401 | https://www.busanjob.net/view.do?no=1308&pgMode=show&id=815866 | https://www.busanjob.net/view.do?no=1308&pgMode=show&id=815865 | https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54940030 | https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54940128 | https://job.alio.go.kr/recruitview.do?idx=304510 | https://job.alio.go.kr/recruitview.do?idx=304511,2026-09-07 22:34:59,시도=부산,강
KR2026090700001019,한국수산자원공단,한국수산자원공단 2026년 개방직위(어업혁신본부장) 공개 모집(재공고),"사업관리, 경영.회계.사무, 농림어업, 관리직, 기타(개방형 계약직), 어업, 어업혁신본부장",,,,"은 모두 충족하여야 하며, 경력요건은 하나의 요건만 충족해도 지원 가능 ※ 경력요건 중 민간 기준의 부서단위 책임자란 ⅰ)정식 직제에 해당하는 부서의 책임자로 부서 정원이 3명 이상의 부서(정규직 근무 직원을 말하며, 인턴, 파트타임, 단기간 근로자 제외)를 ⅱ)실질적으로 관리(직원평가, 예산집행 등 전결권을 행사)한 경우에 한하며 ⅲ)주 40시간 이상 전임직으로서 경력조회(직명 · 관리직무 · 관리대상 직원 수 등) 과정에서 이를 소명하지 못하는 경우에는 경력요건을 충족하지 못한 것으로 봄 ※ 보다 자세한 사항은 첨부파일의 채용공고문을 참고 결격사유 1. 피성년후견인 2. 파산선고를 받고 복권되지 아니한 자 3. 금고 이상의 실형을 선고받고 그 집행이 끝나거나(집행이 끝난 것으로 보는 경우를 포함한다) 집행이 면제된 날부터 5년이 지나지 아니한 자 4. 금고 이상의 형의 집행유예를 선고받고 그 유예기간이 끝난 날부터 2년이 지나지 아니한 자 5. 금고 이상의 형의 선고유예를 받은 경우에 그 선고유예 기간 중에 있는 자 6. 법원의 판결 또는 다른 법률에 따라 자격이 상실되거나 정지된 자 6의2. 공무원으로 재직기간 중 직무와 관련하여 「형법」 제355조 및 제356조에 규정된 죄를 범한 자로서 300만원 이상의 벌금형을 선고받고 그 형이 확정된 후 2년이 지나지 아니한 자 6의3. 다음 각 목의 어느 하나에 해당하는 죄를 범한 사람으로서 100만원 이상의 벌금형을 선고받고 그 형이 확정된 후 3년이 지나지 아니한 사람 가. 「성폭력범죄의 처벌 등에 관한 특례법」 제2조에 따른 성폭력 범죄 나. 「정보통신망 이용촉진 및 정보보호 등에 관한 법률」 제74조제1항제2호 및 제3호에 규정된 죄 다. 「스토킹범죄의 처벌 등에 관한 법률」 제2조제2호에 따른 스토킹 범죄 6의4. 미성년자에 대하여 「성폭력범죄의 처벌 등에 관한 특례법」 제2조에 따른 성폭력범죄 또는 「아동·청소년의 성보호에 관한 법률」 제2조제2호에 따른 아동·청소년대상 성범죄를 범한 사람으로서 다음 각 목의 어느 하나에 해당하는 날부터 20년이 지나지 아니한 사람 가. 금고 이상의 실형을 선고받고 그 집행이 끝나거나(집행이 끝난 것으로 보는 경우를 포함한다) 집행이 면제된 날 나. 금고 이상의 형의 집행유예를 선고받고 그 집행유예가 확정된 날 다. 벌금 이하의 형을 선고받고 그 형이 확정된 날 라. 치료감호를 선고받고 그 집행이 끝나거나 집행이 면제된","취업지원대상자, 장애인(보다 자세한 사항은 첨부파일의 채용공고문을 참고) 채용기간 26.08.28 ~ 26.09.14 등록일 2026.08.28 '한국수산자원공단' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,,,,정보 신입 / 평균 채용인원 1명,,없음,,,경력,,"계약직, 정규직",부산,,,2026-09-14,기한,2,"잡알리오, 나라일터",https://job.alio.go.kr/recruitview.do?idx=304402,https://www.gojobs.go.kr/apmView.do?empmnsn=302360&searchJobsecode=020&menuNo=401 | https://job.alio.go.kr/recruitview.do?idx=304402,2026-09-07 17:41:26,시도=부산,강
KR2026090700001142,영화진흥위원회,2026년 공무직(시설관리_유지/안전관리) 공개채용,"전기, 소방, 통신, 안전, 공무, 시설관리, 안전관리, 시설관리_유지",,,,,"취업지원대상자, 장애인, 소방설비기사(전기분야) 자격증 소지자, 소방설비기사(전기분야) 자격증 소지자 채용기간 26.08.25 ~ 26.09.09 등록일 2026.08.25 '영화진흥위원회' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,정부·공공기관·공기업,,,정보 신입 / 평균 채용인원 2명,1,명시,학력무관,,신입,0,계약직,부산,기장군,,2026-09-09,기한,5,"캐치, 잡알리오, 나라일터, 사람인, 부산일자리정보망",https://www.catch.co.kr/Comp/CompDetail/073979/Recruit/567752,https://www.gojobs.go.kr/apmView.do?empmnsn=301925&searchJobsecode=020&menuNo=401 | https://www.busanjob.net/view.do?no=1308&pgMode=show&id=808543 | https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54851931 | https://job.alio.go.kr/recruitview.do?idx=304215 | https://www.catch.co.kr/Comp/CompDetail/073979/Recruit/567752,2026-09-07 17:58:15,시도=부산,강
KR2026090700001143,영화진흥위원회,2026년 건축직(일반계약직) 공개채용 재공고,"경영.회계.사무, 문화.예술.디자인.방송, 건설, 기술직, 건축",,,,,"취업지원대상자, 장애인 채용기간 26.08.25 ~ 26.09.09 등록일 2026.08.25 '영화진흥위원회' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,,,,정보 신입 / 평균 채용인원 1명,,없음,,,경력,,정규직,부산,,,2026-09-09,기한,2,"잡알리오, 나라일터",https://job.alio.go.kr/recruitview.do?idx=304211,https://www.gojobs.go.kr/apmView.do?empmnsn=301917&searchJobsecode=020&menuNo=401 | https://job.alio.go.kr/recruitview.do?idx=304211,2026-09-07 17:39:04,시도=부산,강
KR2026090700001184,부산광역시,부산광역시 개방형직위(감사위원장) 공개모집 재공고,"일반직 또는 일반임기제 ○, 감사, 원장, 감사위원장, 부이사관 1명","부산광역시 개방형직위(감사위원장) ○ 선발직급 : 지방부이사관(3급 상당, 일반직 또는 일반임기제) ○",,,[붙임] 공고문 참고 ○,,,,,,,,없음,,,,,,부산,연제구,,2026-09-21,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=303051&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=303051&searchJobsecode=020&menuNo=401,2026-09-08 03:24:04,시도=부산,강
KR2026090700001185,기장군도시관리공단 경영기획부 인사총무팀,기장군도시관리공단 2026년 제5회 기간제근로자 공개채용 재공고,사원 1명,,,,채용공고문 참고 ○ 2차,,,,,,,,없음,,,,,,부산,기장군,,2026-09-17,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=303004&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=303004&searchJobsecode=020&menuNo=401,2026-09-08 03:24:05,시도=부산,강
KR2026090700001186,부산광역시 남구 의회사무국,2026년 제2회 부산광역시 남구의회 시간선택제임기제공무원[의회 행정 지원(의원 부속실 근무)] 임용시험 공고,"시간선택제임기제 마급 1명, 공무, 행정, 시험",,,,,,,,,,,,없음,,,,,,부산,남구,,2026-09-16,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302896&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302896&searchJobsecode=020&menuNo=401,2026-09-08 03:24:06,시도=부산,강
KR2026090700001187,부산광역시,2026년도 제2회(재공고) 부산광역시 경력경쟁 임용시험(의무 5급) 계획 공고,"의무 5급 4명, 시험",,,,의사면허 취득 후 2년 이상 관련분야 실무경력이 있는 자 ○,,,,,,,,없음,,,,,,부산,서구,,2026-09-14,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302840&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302840&searchJobsecode=020&menuNo=401,2026-09-08 03:24:06,시도=부산,강
KR2026090700001188,문화체육관광부 국립국악원 부산국악원,국립부산국악원 장악과 공무직 및 기간제 근로자 채용 공고,"공무직 1명 기간제근로자 1명, 공무",,,,,,,,,,,,없음,,,,,,부산,부산진구,,2026-09-10,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302787&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302787&searchJobsecode=020&menuNo=401,2026-09-08 03:24:07,시도=부산,강
KR2026090700001190,국립공원공단 금정산국립공원사무소,[금정산] 2026년 국립공원지킴이(녹색순찰대) 모집 공고(부산광역시),"지킴이, 순찰, 녹색순찰대, 기간제 7명",[금정산] 2026년 국립공원지킴이(녹색순찰대) 모집 공고(부산광역시) ○ 고용형태 : 기간제 ○,,,,,,,,,,,없음,,,,,,부산,,,2026-09-14,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302736&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302736&searchJobsecode=020&menuNo=401,2026-09-08 03:24:08,시도=부산,강
KR2026090700001191,부산광역시 부산진구,2026년 제4회 부산진구 임기제공무원(간호사) 채용 공고,"간호, 지방시간선택제임기제 마급 1명, 공무, 간호사",간호사(치매안심센터) 1명 ○ 선발직급 : 시간선택제임기제 마급 ○ 고용형태 : 임기제 ○,,,,,,,,,,,없음,,,,,,부산,부산진구,,2026-09-17,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302735&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302735&searchJobsecode=020&menuNo=401,2026-09-08 03:24:09,시도=부산,강
KR2026090700001192,대법원 부산고등법원,[부산고등법원] 공무직 근로자(시설관리원-기계) 신규채용시험 시행계획 공고,"기계, 공무, 시설관리원, 시설관리원-기계, 공무직 근로자(시설관리원-기계) 1명, 시험",기계 ○ 선발직급 :공무직 근로자(시설관리원-기계) ○ 고용형태 : 공무직 ○,,,"자격증(해당 분야의 기능사 이상 자격증 소지자, 붙임 직무기술서 참조) ○",,,,,,,,없음,,,,,,부산,연제구,,2026-09-11,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302729&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302729&searchJobsecode=020&menuNo=401,2026-09-08 03:24:10,시도=부산,강
KR2026090700001193,기상청 부산지방기상청,(합격자발표) 2026년 부산지방기상청 공무직근로자(시설물청소원) 채용 서류전형 결과 및 면접전형 일정 공고,"공무직근로자(시설물청청소원) 1명, 공무, 청소, 시설물청소원",,,,,,,,,,,,없음,,,,,,부산,강서구,,2026-09-15,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302643&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302643&searchJobsecode=020&menuNo=401,2026-09-08 03:24:10,시도=부산,강
KR2026090700001194,부산대학교,"부산대학교 학생성공개발원 대학일자리플러스센터 사무원 채용 공고(2명, 기간제계약직)","개발, 사무, 사무원 2명",부산대학교 학생성공개발원 대학일자리플러스센터 사무원 ㅇ,,,,,,,,,,,없음,,,,,,부산,금정구,,2026-09-09,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302623&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302623&searchJobsecode=020&menuNo=401,2026-09-08 03:24:11,시도=부산,강
KR2026090700001195,법무부 부산소년원,(부산소년원) 2026년 제2회 정신건강임상심리사(기간제근로자) 대체인력 채용 공고,"임상, 심리, 인력, 대체인력, 정신건강임상심리사(기간제근로자) 1명",정신건강임상심리사 ○ 고용형태: 기간제근로자(대체인력) ○,,,정신건강임상심리사 2급 이상 ○,,,,,,,,없음,,,,,,부산,금정구,,2026-09-15,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302608&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302608&searchJobsecode=020&menuNo=401,2026-09-08 03:24:12,시도=부산,강
KR2026090700001196,부산광역시교육청 부산광역시교육청학교행정지원본부 학교채용지원팀,2026년 청룡초등학교 당직전담사 채용 공고(장애인우선채용),"당직전담사 1명, 당직전담사",,,,,,,,,"(격일제) 평일16:30~08:30, 주말08:30~08:30 4. 원서",,,없음,,,,,,부산,금정구,,2026-09-07,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302568&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302568&searchJobsecode=020&menuNo=401,2026-09-08 03:24:12,시도=부산,강
KR2026090700001197,부산광역시교육청 부산광역시교육청학교행정지원본부 학교채용지원팀,2026년 부전초등학교 당직전담사 채용 공고(장애인우선채용),"당직전담사 1명, 당직전담사",,,,,,,,,"(격일제) 평일16:20~08:20, 주말08:20~08:20 4. 원서",,,없음,,,,,,부산,부산진구,,2026-09-07,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302565&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302565&searchJobsecode=020&menuNo=401,2026-09-08 03:24:13,시도=부산,강
KR2026090700001198,부산광역시교육청 부산광역시교육청학교행정지원본부 학교채용지원팀,2026년 송정초등학교(강서구) 당직전담사 채용 공고(장애인우선채용),"당직전담사 1명, 당직전담사",,,,,,,,,"(격일제) 평일16:20~08:20, 주말08:20~08:20 4. 원서",,,없음,,,,,,부산,강서구,,2026-09-07,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302563&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302563&searchJobsecode=020&menuNo=401,2026-09-08 03:24:14,시도=부산,강
KR2026090700001199,부산광역시교육청 부산광역시교육청학교행정지원본부 학교채용지원팀,2026학년도 온천초등학교 통학차량안전도우미 채용 공고,"통학차량안전도우미 1명, 통학차량, 안전도우미, 통학차량안전도우미",,,,,,,,,,,,없음,,,,,,부산,동래구,,2026-09-07,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302526&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302526&searchJobsecode=020&menuNo=401,2026-09-08 03:24:14,시도=부산,강
KR2026090700001200,경찰청 부산광역시경찰청 부산동부경찰서,26년 부산동부경찰서 복지회 영양사(기간제근로자) 채용 공고,"영양사, 영양사(기간게근로자) 1명",영양사 -고용형태: 기간제근로자(단시간) -보수: 26년 최저임금 기준(근로기준법에 의함) -,,,"영양사 자격증(필수), 조리기능사 자격증(필수)",,,,,,기준(근로기준법에 의함) -,,없음,,,,,,부산,동구,,2026-09-11,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302511&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302511&searchJobsecode=020&menuNo=401,2026-09-08 03:24:15,시도=부산,강
KR2026090700001201,국회 국회도서관 국회부산도서관,"국회부산도서관 기간제근로자(방호·경비, 휴직대체) 채용계획 공고","기간제근로자 1명, 경비",,,,,,,,,,,,없음,,,,,,부산,강서구,,2026-09-09,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302499&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302499&searchJobsecode=020&menuNo=401,2026-09-08 03:24:16,시도=부산,강
KR2026090700001202,부산광역시교육청 동아고등학교,2026년도 동아고등학교 사무직원 시설관리 9급 공개경쟁채용 공고,"시설관리 9급 1명, 사무직, 시설관리, 사무직원",,,,,,,,,,,,없음,,,,,,부산,사하구,,2026-09-21,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302407&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302407&searchJobsecode=020&menuNo=401,2026-09-08 03:24:16,시도=부산,강
KR2026090700001203,부산광역시 해운대구 의회사무국,2026년 제2회 해운대구의회 일반임기제공무원(정책지원관) 채용 공고,"지방행정주사보(일반임기제) 1명, 공무",,,,,,,,,,,,없음,,,,,,부산,해운대구,,2026-09-11,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302400&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302400&searchJobsecode=020&menuNo=401,2026-09-08 03:24:17,시도=부산,강
KR2026090700001204,부산진해경제자유구역청,2026년 제3회 부산진해경제자유구역청 임기제공무원 임용(행정7급),"투자유치 전문관, 공무, 행정, 행정7급",투자유치 전문관,,국내외 투자유치 ㆍ 증액투자 및 잠재투자자 발굴 ㆍ 네트워크 구축 및 홍보활동,경력 경력 (3년이상) 학력 학력무관,"기본우대 영어가능자, 일본어가능자, 중국어가능자",,재정 및 경제정책 행정,,주5일(월~금) 09:00 ~ 18:00,"연봉 5,027~7,078만원",2,명시,학력무관,부산 강서구 송정동 1709-2 부산진해경제자유구역청 지도보기,경력,3,계약직,부산,강서구,,2026-09-11,기한,3,"잡코리아, 나라일터, 부산일자리정보망",https://www.jobkorea.co.kr/Recruit/GI_Read/49886206,https://www.gojobs.go.kr/apmView.do?empmnsn=302375&searchJobsecode=020&menuNo=401 | https://www.busanjob.net/view.do?no=1308&pgMode=show&id=811339 | https://www.jobkorea.co.kr/Recruit/GI_Read/49886206 | https://www.jobkorea.co.kr/Recruit/GI_Read/49886206?rPageCode=SL&logpath=21&sn=6&sc=,2026-09-07 16:19:23,시도=부산,강
KR2026090700001205,부산교육대학교,부산교육대학교 대학회계 무기계약직(청사관리) 공개경쟁채용 공고,"무기계약직(청사관리) 1명, 교육, 회계, 기계",,,,,,,,,,,,없음,,,,,계약직,부산,연제구,,2026-09-10,기한,1,나라일터,https://www.gojobs.go.kr/apmView.do?empmnsn=302263&searchJobsecode=020&menuNo=401,https://www.gojobs.go.kr/apmView.do?empmnsn=302263&searchJobsecode=020&menuNo=401,2026-09-08 03:24:18,시도=부산,강
KR2026090700001208,부산대학교병원,"2026년도 일반직(행정, 보건, 간호조무, 원무직) 신규직원 블라인드 공개채용 #공채","간호조무사, 사무, 총무, 법무, 사무보조, 문서작성, 의료기사, 행정, 간호조무, 직원, 신규직원",,,,"자격증, 면허증, 영어능력검정시험 성적 등 ○","취업지원대상자(보훈대상자): 국가유공자 등 예우 및 지원에 관한 법률, 장애인: 장애인고용촉진 및 직업재활법 시행령 제3조에 해당하는 자, [보건직-물리치료사]: 중추신경계발달치료 이수자 또는 림프부종치료 가능자 채용기간 26.08.25 ~ 26.09.08 등록일 2026.08.25 '부산대학교병원' 에서 진행중인 채용공고 (최근 1개월 이전 공고) 더보기 상세요강 전체보기",,,,,정보 신입 / 평균 채용인원 26명,,없음,,,신입,0,정규직,부산,서구,,2026-09-08,기한,3,"캐치, 잡알리오, 나라일터",https://www.catch.co.kr/Comp/CompDetail/369498/Recruit/567823,https://www.gojobs.go.kr/apmView.do?empmnsn=302008&searchJobsecode=020&menuNo=401 | https://job.alio.go.kr/recruitview.do?idx=304246 | https://www.catch.co.kr/Comp/CompDetail/369498/Recruit/567823,2026-09-07 17:58:12,시도=부산,강
