통합키,정답코드,정답명,예측코드,근거,확실도,매칭토큰,정답13분류,예측13분류,추정코드,추정근거
KR2026090700037502,873102,어패류(수산물) 가공기계 조작원,8,상위합의,약,가공,10,10,,사전(학습) 「생선해체원」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700031193,151100,기계공학 기술자 및 연구원,0,상위합의,약,사무,02,01,,사전(학습) 「연구개발」 — 정답 7건 중 4건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700021814,813210,머시닝센터(MCT) 조작원,813210,별칭일치,강,mct조작원,10,10,,
KR2026090700037171,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700020522,027102,회계 사무원(회계·세무 사무소),027100,별칭일치,강,회계사무원,01,01,,
KR2026090700142513,158102,소방시설·설비 시공 기술자,0,상위합의,약,공무,02,01,,사전(학습) 「소방」 — 정답 33건 중 20건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700022410,813101,프레스 금형 제조원,8,상위합의,약,금형,10,10,,사전(학습) 「금형」 — 정답 37건 중 30건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700038005,028402,자재·구매 사무원(기계·자동차·금속),0,상위합의,약,금속,01,01,028402,사전(학습) 「금속」 — 정답 3건 중 2건이 028402 자재·구매 사무원(기계·자동차·금속)
KR2026090700026129,159103,기계·금속 제도사(캐드원),1,상위합의,약,설계,02,02,,사전(학습) 「설계」 — 정답 86건 중 66건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700022008,890001,기계·금속 분야 단순 종사원,890001,학습사전,중,기계분야단순노무자,10,10,,
KR2026090700020541,306500,물리 및 작업치료사,306501,별칭일치,강,물리치료사,04,04,,
KR2026090700031175,027200,경리 사무원,027200,별칭일치,강,경리사무원,01,01,,
KR2026090700015934,531803,병원 급식 조리사,5,상위합의,약,조리,06,06,,사전(학습) 「조리」 — 정답 127건 중 119건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700025705,890000,기타 제조 관련 단순 종사원,411100,별칭일치,강,작가,10,05,,
KR2026090700142382,813210,머시닝센터(MCT) 조작원,813210,학습사전,중,머시닝가공원,10,10,,
KR2026090700015589,813202,범용 선반 조작원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700019221,029904,사무 보조원(일반사업체),029904,학습사전,중,문서수발원(일반사업체),01,01,,
KR2026090700030164,813210,머시닝센터(MCT) 조작원,8,상위합의,약,기계,10,10,,사전(학습) 「기계」 — 정답 210건 중 123건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700038278,028508,품질관리 사무원(기계·자동차·금속),028508,별칭일치,강,품질관리사무원(기계·자동차·금속),01,01,,
KR2026090700037891,890000,기타 제조 관련 단순 종사원,890000,학습사전,중,권선공,10,10,,
KR2026090700027161,026100,경영 기획 사무원,0,상위합의,약,사무,01,01,,사전(학습) 「사업기획사무원」 — 정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700020828,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700142186,706000,건설 및 광업 단순 종사원,8,상위합의,약,작업자,09,10,890000,사전(수동) 「작업자」 — 제조 단순 종사원
KR2026090700016002,027200,경리 사무원,0,상위합의,약,경리,01,01,,사전(학습) 「경리」 — 정답 57건 중 56건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700028440,420402,수영·골프·테니스·배드민턴·탁구 등 스포츠 강사,2,상위합의,약,강사,05,03,,사전(학습) 「수영강사」 — 정답 2건 중 2건이 05 예술·디자인·방송·스포츠직 — 세세분류는 흩어진다
KR2026090700015960,016300,제품 생산 관련 관리자,0,상위합의,약,생산관리,01,01,,사전(학습) 「생산관리직」 — 정답 4건 중 3건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700142286,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700024886,703200,"공업 배관공(플랜트,항공,선박,철도차량)",7,상위합의,약,배관,09,09,,사전(학습) 「배관」 — 정답 26건 중 15건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700025478,159104,전기·전자 장비 제도사(캐드원),1,상위합의,약,설계,02,02,,사전(학습) 「설계」 — 정답 86건 중 66건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700016205,028511,품질관리 사무원(음식료품),8,상위합의,약,포장,01,01,,사전(학습) 「음식료품관련품질관리원」 — 정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700037248,550102,재가 요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700023086,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",561101,별칭일치,강,아파트청소원,06,06,,
KR2026090700028792,305000,영양사,305000,별칭일치,강,영양사,04,04,,
KR2026090700021150,890000,기타 제조 관련 단순 종사원,8,상위합의,약,도장,10,10,890000,사전(수동) 「작업자」 — 제조 단순 종사원
KR2026090700025700,612108,기타 기술영업원,8,상위합의,약,검사,07,10,,후보 표결 — 지지 후보들의 13대분류가 10 로 모였다
KR2026090700027145,027102,회계 사무원(회계·세무 사무소),027100,별칭일치,강,회계사무원,01,01,,
KR2026090700020551,813200,금속 공작기계 조작원,813200,학습사전,중,밀링기조작원,10,10,,
KR2026090700017686,817200,자동차 부품 조립원(검사원 포함),817200,학습사전,중,자동차부분품조립원,10,10,,
KR2026090700020018,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700023090,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700142322,813102,플라스틱 금형 제조원,8,상위합의,약,사출,10,10,,사전(학습) 「금형」 — 정답 37건 중 30건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700030141,232903,장애인 생활지도원(장애인활동보조원 포함),232903,학습사전,중,장애인활동지원사,03,03,,
KR2026090700015944,890006,식품 분야 단순 종사원,890006,학습사전,중,식품분야단순노무자,10,10,,
KR2026090700142184,564903,기타 서비스 단순종사원(사우나·찜질방 등),5,상위합의,약,청소,06,06,,사전(학습) 「청소」 — 정답 165건 중 140건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700018033,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700017346,014300,환경·청소 및 경비 관련 관리자,5,상위합의,약,경비,01,06,,사전(학습) 「경비」 — 정답 16건 중 11건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700142323,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700019742,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700020528,531802,유치원·어린이집 급식 조리사,531802,학습사전,중,어린이집급식조리사,06,06,,
KR2026090700017352,561102,"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",561102,학습사전,중,호텔청소원,06,06,,
KR2026090700020558,232900,기타 사회복지 전문가 및 관련 종사원,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700030079,813209,금속절곡기 조작원(밴딩기 조작원),,미분류,,,10,,,
KR2026090700020751,532302,단체 급식 보조원,532302,별칭일치,강,단체급식보조원,06,06,,
KR2026090700030098,817300,운송장비 조립원(항공기·선박·철도기관차·전동차 등 검사원 포함),8,상위합의,약,수리,10,10,,사전(학습) 「선박」 — 정답 65건 중 35건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700037344,882100,목재 가공 관련 기계 조작원,6,상위합의,약,재단,10,10,,사전(학습) 「재단」 — 정답 23건 중 13건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700022631,110100,인문과학 연구원,1,상위합의,약,연구원,02,02,,사전(학습) 「연구원」 — 정답 7건 중 6건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700029978,231100,사회복지사,0,상위합의,약,기획,03,01,,사전(학습) 「회계」 — 정답 59건 중 56건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700029763,561100,건물 청소원,5,상위합의,약,청소,06,06,,사전(학습) 「청소」 — 정답 165건 중 140건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700022415,133200,응용 소프트웨어 개발자,1,상위합의,약,개발,13,02,,사전(수동) 「엔지니어」 — 분야 없이는 특정 불가
KR2026090700030828,140203,건축시공 기술자(건축견적 포함),0,상위합의,약,공무,02,01,,사전(학습) 「건축시공기사」 — 정답 2건 중 2건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700024879,027204,경리 사무원(제조),0,상위합의,약,경리,01,01,029904,사전(수동) 「사무직」 — 사무 보조원(일반사업체). KECO 명칭은 `사무원`
KR2026090700021767,890006,식품 분야 단순 종사원,890006,학습사전,중,식품분야단순노무자,10,10,,
KR2026090700018084,531803,병원 급식 조리사,531803,별칭일치,강,병원급식조리사,06,06,,
KR2026090700037823,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700018057,885900,기타 기계 조작원,8,상위합의,약,포장,10,01,,사전(수동) 「물류관리」 — 자재·물류 사무원
KR2026090700037738,532302,단체 급식 보조원,5,상위합의,약,조리원,06,06,532300,사전(수동) 「주방」 — 주방 보조원
KR2026090700022386,813201,CNC 선반 조작원(NC 선반 조작원),813201,학습사전,중,cnclath가공원,10,10,,
KR2026090700037546,159103,기계·금속 제도사(캐드원),159103,학습사전,중,기계캐드원,02,02,,
KR2026090700016599,231100,사회복지사,,미분류,,,03,,,
KR2026090700030568,532302,단체 급식 보조원,532302,별칭일치,강,단체급식보조원,06,06,,
KR2026090700142190,542001,아파트·빌라 경비원,542001,학습사전,중,아파트경비원,06,06,,
KR2026090700021207,232100,보육교사,232100,별칭일치,강,보육교사,03,03,,
KR2026090700015600,890000,기타 제조 관련 단순 종사원,8,상위합의,약,생산,10,10,890000,사전(학습) 「생산부사원」 — 정답 3건 중 2건이 890000 기타 제조 관련 단순 종사원
KR2026090700020560,532202,일반 음식점 접객서빙원,5,상위합의,약,서빙,06,06,,사전(학습) 「서빙」 — 정답 5건 중 5건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700016593,852101,고무 사출성형기 조작원,852101,별칭일치,강,고무사출성형기조작원,12,12,,
KR2026090700022020,028408,물류 사무원(물류 관리사),026202,학습사전,중,영업관리,01,01,,
KR2026090700020771,232100,보육교사,232100,학습사전,중,어린이집교사,03,03,,
KR2026090700018089,890005,전기·전자 분야 단순 종사원,8,상위합의,약,설치,10,10,,사전(학습) 「설치」 — 정답 33건 중 18건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700038186,027102,회계 사무원(회계·세무 사무소),027100,별칭일치,강,회계사무원,01,01,,
KR2026090700019276,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700017324,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700026304,532202,일반 음식점 접객서빙원,5,상위합의,약,홀서빙,06,06,531200,사전(수동) 「홀서빙」 — 음식 서비스 종사원
KR2026090700026126,153102,"전기계측 제어 기술자(전기패널, 계장, 공정자동화전기 등)",8,상위합의,약,전기,02,10,,사전(학습) 「기계」 — 정답 210건 중 123건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700030804,561102,"호텔·콘도·숙박시설 청소원(룸메이드,하우스키퍼)",561102,별칭일치,강,룸메이드,06,06,,
KR2026090700021819,232900,기타 사회복지 전문가 및 관련 종사원,8,상위합의,약,생산,03,10,,사전(학습) 「생산」 — 정답 268건 중 189건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700037520,564300,주차 관리원 및 안내원,564300,학습사전,중,주차관리원,06,06,,
KR2026090700029341,307500,간호조무사,307500,별칭일치,강,간호조무사,04,04,,
KR2026090700037200,890000,기타 제조 관련 단순 종사원,890000,학습사전,중,단순조립원,10,10,,
KR2026090700021784,307500,간호조무사,307500,별칭일치,강,간호조무사,04,04,,
KR2026090700028195,232100,보육교사,232100,별칭일치,강,보육교사,03,03,,
KR2026090700142308,890000,기타 제조 관련 단순 종사원,8,상위합의,약,사출,10,10,,사전(학습) 「금형」 — 정답 37건 중 30건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700016957,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700038142,231100,사회복지사,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700030070,813210,머시닝센터(MCT) 조작원,813210,학습사전,중,머시닝가공원,10,10,,
KR2026090700020048,824101,가스용접원(산소용접원),824100,별칭일치,강,용접원,10,10,,
KR2026090700037158,550102,재가 요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700015985,532300,주방 보조원,532300,별칭일치,강,주방보조원,06,06,,
KR2026090700142437,564300,주차 관리원 및 안내원,564300,학습사전,중,주차관리원,06,06,,
KR2026090700029140,159101,건축 제도사(캐드원),1,상위합의,약,시스템,02,02,,사전(수동) 「cad」 — 제도·설계 — 공학기술직
KR2026090700142537,881104,스크린 인쇄기 조작원(실크스크린 포함),4,상위합의,약,기사,10,05,,사전(학습) 「일러스트」 — 정답 7건 중 4건이 05 예술·디자인·방송·스포츠직 — 세세분류는 흩어진다
KR2026090700029923,823301,"주조원(목형원, 원형원, 주형원)",823301,별칭일치,강,원형원,10,10,,
KR2026090700028197,531802,유치원·어린이집 급식 조리사,532300,별칭일치,강,주방보조원,06,06,,
KR2026090700031168,531801,학교 급식 조리사,5,상위합의,약,급식,06,06,532300,사전(수동) 「급식」 — 급식 조리·배식. 주방 보조원
KR2026090700029626,541300,시설 및 특수 경비원,1,상위합의,약,설비,06,06,541300,사전(수동) 「보안」 — 시설 및 특수 경비원
KR2026090700015949,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",561101,학습사전,중,apt청소원,06,06,,
KR2026090700016584,550400,장애인 돌봄 종사원,0,상위합의,약,행정,06,01,,사전(학습) 「돌봄」 — 정답 57건 중 40건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700015998,815000,자동 조립라인 및 산업용로봇 조작원,8,상위합의,약,용접,10,10,,사전(학습) 「용접」 — 정답 75건 중 65건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700028542,813202,범용 선반 조작원,813202,학습사전,중,범용선반,10,10,,
KR2026090700019280,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700020775,890000,기타 제조 관련 단순 종사원,8,상위합의,약,제조,10,10,,사전(학습) 「제조」 — 정답 197건 중 122건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700026145,613204,일반 제품 영업원,6,상위합의,약,영업,07,07,,사전(학습) 「영업사원」 — 정답 8건 중 6건이 07 영업·판매직 — 세세분류는 흩어진다
KR2026090700024014,821202,금속 열처리로 조작원,8,상위합의,약,생산직,10,10,890000,사전(수동) 「작업자」 — 제조 단순 종사원
KR2026090700028974,890000,기타 제조 관련 단순 종사원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700029515,532202,일반 음식점 접객서빙원,5,상위합의,약,홀서빙,06,06,531200,사전(수동) 「홀서빙」 — 음식 서비스 종사원
KR2026090700031101,028506,생산관리 사무원(그 외 분야),0,상위합의,약,사무직,01,01,029904,사전(수동) 「사무직」 — 사무 보조원(일반사업체). KECO 명칭은 `사무원`
KR2026090700030152,821200,금속가공 기계 조작원,0,상위합의,약,품질,10,01,,사전(학습) 「생산」 — 정답 268건 중 189건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700021374,159103,기계·금속 제도사(캐드원),159101,별칭일치,강,캐드원,02,02,,
KR2026090700022640,014300,환경·청소 및 경비 관련 관리자,5,상위합의,약,청소,01,06,,사전(학습) 「청소」 — 정답 165건 중 140건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700037861,550102,재가 요양보호사,,미분류,,,06,,,
KR2026090700017301,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700027901,028509,품질관리 사무원(화학·섬유·의료),0,상위합의,약,품질검사,01,01,,사전(학습) 「품질검사」 — 정답 5건 중 5건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700142175,532301,주방 보조원(일반 음식점),532300,별칭일치,강,주방보조원,06,06,,
KR2026090700037610,623004,지게차 운전원,623004,별칭일치,강,지게차운전원,08,08,,
KR2026090700030235,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700038113,813205,드릴링기 및 보링기 조작원,8,상위합의,약,생산직,10,10,,사전(학습) 「경력정규직」 — 정답 2건 중 2건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700021799,813206,연삭기 및 연마(광택)기 조작원,,미분류,,,10,,,
KR2026090700024921,813202,범용 선반 조작원,813202,학습사전,중,유압자동선반조작원,10,10,,
KR2026090700018088,550102,재가 요양보호사,5,상위합의,약,청소,06,06,,사전(학습) 「3등급」 — 정답 2건 중 2건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700037753,890006,식품 분야 단순 종사원,890006,학습사전,중,식품육안선별원,10,10,,
KR2026090700016660,028400,자재관리 사무원,1,상위합의,약,해양,01,10,,사전(학습) 「선박」 — 정답 65건 중 35건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700029928,813201,CNC 선반 조작원(NC 선반 조작원),813201,학습사전,중,cnc선반기능원,10,10,,
KR2026090700019785,706000,건설 및 광업 단순 종사원,8,상위합의,약,설치,09,10,,사전(학습) 「설치」 — 정답 33건 중 18건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700142431,232903,장애인 생활지도원(장애인활동보조원 포함),232903,학습사전,중,장애인활동지원사,03,03,,
KR2026090700023424,153305,전자제어계측 기술자 및 연구원,1,상위합의,약,설계,02,02,,사전(학습) 「설계」 — 정답 86건 중 66건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700021144,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700024550,307500,간호조무사,307500,별칭일치,강,간호조무사,04,04,,
KR2026090700018985,016301,기계·금속·비금속 제조 관리자(공장장),8,상위합의,약,생산,01,10,,사전(수동) 「팀장」 — 직급이라 직업을 특정할 수 없다
KR2026090700016595,890000,기타 제조 관련 단순 종사원,8,상위합의,약,생산보조,10,10,890000,사전(학습) 「생산보조」 — 정답 6건 중 4건이 890000 기타 제조 관련 단순 종사원
KR2026090700029976,531802,유치원·어린이집 급식 조리사,5,상위합의,약,조리사,06,06,532300,사전(수동) 「급식」 — 급식 조리·배식. 주방 보조원
KR2026090700021788,532301,주방 보조원(일반 음식점),532300,별칭일치,강,주방보조원,06,06,,
KR2026090700018368,029904,사무 보조원(일반사업체),029904,학습사전,중,문서수발원(일반사업체),01,01,,
KR2026090700020014,140200,건축공학 기술자,0,상위합의,약,품질관리,02,01,,사전(학습) 「건축」 — 정답 36건 중 18건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700142213,550101,요양보호사(노인요양사),550100,별칭일치,강,요양보호사,06,06,,
KR2026090700017332,813201,CNC 선반 조작원(NC 선반 조작원),813201,학습사전,중,cnclath가공원,10,10,,
KR2026090700031104,155101,가스 기술자 및 연구원,6,상위합의,약,영업,02,07,,사전(수동) 「엔지니어」 — 분야 없이는 특정 불가
KR2026090700142626,890000,기타 제조 관련 단순 종사원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700028735,231201,심리상담 전문가,231201,별칭일치,강,심리상담전문가,03,03,,
KR2026090700142315,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700025466,026202,영업 기획·관리·지원 사무원,026202,학습사전,중,영업관리사무원,01,01,,
KR2026090700037506,140303,토목시공 기술자(토목견적 포함),140303,별칭일치,강,토목시공기술자,02,02,,
KR2026090700016905,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700022392,550102,재가 요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700037207,890000,기타 제조 관련 단순 종사원,890000,학습사전,중,권선공,10,10,,
KR2026090700037480,816100,일반기계 조립원,816100,학습사전,중,기계조립원,10,10,,
KR2026090700018068,531803,병원 급식 조리사,531803,별칭일치,강,병원급식조리사,06,06,,
KR2026090700142302,532302,단체 급식 보조원,5,상위합의,약,급식,06,06,532300,사전(수동) 「급식」 — 급식 조리·배식. 주방 보조원
KR2026090700037521,550102,재가 요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700028823,813209,금속절곡기 조작원(밴딩기 조작원),813209,별칭일치,강,밴딩기조작원,10,10,,
KR2026090700142180,027200,경리 사무원,0,상위합의,약,경리,01,01,,사전(학습) 「경리」 — 정답 57건 중 56건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700038294,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700029672,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700015937,306501,물리치료사,306501,별칭일치,강,물리치료사,04,04,,
KR2026090700023803,890006,식품 분야 단순 종사원,890006,학습사전,중,식품분야단순노무자,10,10,,
KR2026090700029819,612201,해외 영업원(영어),612201,별칭일치,강,해외영업원(영어),07,07,,
KR2026090700016212,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700027000,026200,영업 및 마케팅 사무원,6,상위합의,약,영업,01,07,,사전(수동) 「영업직」 — 영업원. 상품·분야 특정 불가
KR2026090700026279,307500,간호조무사,307500,별칭일치,강,간호조무사,04,04,,
KR2026090700024069,531803,병원 급식 조리사,531803,별칭일치,강,병원급식조리사,06,06,,
KR2026090700142205,306800,언어 및 청각능력 재활사,2,상위합의,약,심리,04,03,,사전(학습) 「언어치료사」 — 정답 2건 중 2건이 04 보건·의료직 — 세세분류는 흩어진다
KR2026090700024881,531800,단체급식 조리사,5,상위합의,약,조리,06,06,532300,사전(수동) 「급식」 — 급식 조리·배식. 주방 보조원
KR2026090700016656,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700031086,013903,빌딩 관리소장,8,상위합의,약,수리,01,01,,사전(학습) 「빌딩관리사무소장」 — 정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700030308,706001,조경시설물 설치원,,미분류,,,09,01,,사전(학습) 「조경관리」 — 정답 2건 중 1건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700037885,834000,전기 및 전자설비 조작원,1,상위합의,약,개발,10,02,,사전(학습) 「시공」 — 정답 40건 중 25건이 02 연구직 및 공학기술직 — 세세분류는 흩어진다
KR2026090700025476,026400,교육 및 훈련 사무원,2,상위합의,약,강사,01,03,,사전(학습) 「강사」 — 정답 20건 중 15건이 03 교육·법률·사회복지·경찰·소방직 및 군인 — 세세분류는 흩어진다
KR2026090700020569,816200,기계 부품 조립원,816200,별칭일치,강,기계부품조립원,10,10,,
KR2026090700023829,813213,기타 금속공작기계 조작원 및 보조원,8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700142313,028407,창고 관리원(자재 검수원 포함),6,상위합의,약,운전,01,01,,사전(학습) 「물류입출고원」 — 정답 2건 중 2건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700019735,813210,머시닝센터(MCT) 조작원,813210,별칭일치,강,mct조작원,10,10,,
KR2026090700023369,027102,회계 사무원(회계·세무 사무소),027102,별칭일치,강,회계사무원(회계·세무사무소),01,01,,
KR2026090700026695,532302,단체 급식 보조원,0,상위합의,약,공무,06,01,532300,사전(수동) 「급식」 — 급식 조리·배식. 주방 보조원
KR2026090700024908,231101,사회복지사(사회복지시설),231100,별칭일치,강,사회복지사,03,03,,
KR2026090700037227,231100,사회복지사,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700037474,550102,재가 요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700037216,821200,금속가공 기계 조작원,8,상위합의,약,작업자,10,10,890000,사전(수동) 「작업자」 — 제조 단순 종사원
KR2026090700038062,813200,금속 공작기계 조작원,8,상위합의,약,금속가공기계조작원구인합니다,10,10,,사전(학습) 「가공」 — 정답 214건 중 183건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700027140,550100,요양보호사,5,상위합의,약,간병,06,06,550201,사전(수동) 「간병」 — 간병인
KR2026090700021754,016305,식품가공 제조 관리자(공장장),8,상위합의,약,가공,01,10,,사전(수동) 「팀장」 — 직급이라 직업을 특정할 수 없다
KR2026090700015537,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700024332,231100,사회복지사,231100,별칭일치,강,사회복지사,03,03,,
KR2026090700025474,029904,사무 보조원(일반사업체),0,상위합의,약,사무보조,01,01,,사전(학습) 「사무보조」 — 정답 16건 중 13건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700020830,811206,기타 공업기계 설치·정비원,8,상위합의,약,가공,10,10,,사전(학습) 「설비」 — 정답 67건 중 36건이 10 설치·정비·생산직 — 세세분류는 흩어진다
KR2026090700142233,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700018866,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700028987,531804,사업체 구내식당 급식 조리사,5,상위합의,약,조리사,06,06,,사전(학습) 「조리사」 — 정답 67건 중 65건이 06 미용·여행·숙박·음식·경비·청소직 — 세세분류는 흩어진다
KR2026090700020767,561101,"건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",5,상위합의,약,미화원,06,06,561100,사전(수동) 「미화원」 — 건물 청소원
KR2026090700027467,890002,단순 사상원(용접사상 제외-용접원구분),8,상위합의,약,생산직,10,10,,사전(수동) 「생산직」 — 생산 현장직. 공정은 특정 불가 → 설치·정비·생산직
KR2026090700021165,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700020043,550100,요양보호사,550100,별칭일치,강,요양보호사,06,06,,
KR2026090700024333,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700021431,550102,재가 요양보호사,550102,별칭일치,강,재가요양보호사,06,06,,
KR2026090700020786,890000,기타 제조 관련 단순 종사원,890000,학습사전,중,단순조립원,10,10,,
KR2026090700029083,532302,단체 급식 보조원,532302,별칭일치,강,단체급식보조원,06,06,,
KR2026090700024626,027206,경리 사무원(일반사업체),0,상위합의,약,경리,01,01,,사전(학습) 「경리」 — 정답 57건 중 56건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
KR2026090700142172,817200,자동차 부품 조립원(검사원 포함),817200,학습사전,중,자동차부분품조립원,10,10,,
KR2026090700030078,871100,제과원 및 제빵사,871100,학습사전,중,제과사(제과원),10,10,,
KR2026090700142183,623004,지게차 운전원,623004,별칭일치,강,지게차운전원,08,08,,
KR2026090700037233,026501,총무 및 일반 사무원,0,상위합의,약,기획,01,01,,사전(학습) 「홍보」 — 정답 14건 중 7건이 01 경영·사무·금융·보험직 — 세세분류는 흩어진다
