회사명,공고제목,직무,경력,고용형태,지역,기술스택,마감일,공고URL,수집시각
리딩잡 주식회사,[송탄농협 하나로마트]#추석단기#0917~0923#선착순마감#12.5,"매장관리·판매, 유통점·마트, 농수산·청과·축산",1주일~1개월,"일급 125,000원",경기 평택시 서정동,,상시모집,https://www.albamon.com/jobs/detail/118884819,2026-09-07 15:29:46
리딩잡 주식회사,[일동농협 하나로마트]#명절단기알바(정육)#일급13만#9.16-24#선착,"매장관리·판매, 유통점·마트, 농수산·청과·축산",6개월~1년,"일급 130,000원",경기 포천시 일동면,,상시모집,https://www.albamon.com/jobs/detail/119031251,2026-09-07 15:29:46
"워크365, 주간, 청라알바, 교과서파트",[당일지급/출근셔틀]교과서파트/꿀알바추천/주간8시/초보장기환영,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 144,700원",인천 미추홀구,,상시모집,https://www.albamon.com/jobs/detail/119020953,2026-09-07 15:29:46
하역업무/안전화필수/바로출근가능/자차환영,저온)하역업무#빨리끝나면쉬다가퇴근#안전화필수#자차출퇴근환영,"상하차·소화물 분류, 물류피킹·포장·전산, 생산·건설·노무 기타",3개월~6개월,"일급 130,000원",경기 평택시 합정동,,상시모집,https://www.albamon.com/jobs/detail/119045286,2026-09-07 15:29:46
마스타자동차,[대규모채용/주5일] 자동차 긴급출동 사고접수 인바운드 상담사,"사무보조, 고객상담·인바운드, 콜센터관리·모니터링",1년이상,"월급 2,300,000원",서울 서초구 반포동,,2026-09-16,https://www.albamon.com/jobs/detail/119034757,2026-09-07 15:29:46
일12만원(잔업없음).1일.지게차.일반,(화요일/13시조) #당일지급# 신둔 식자재물류 (화요일) 1일단기,"입출고·창고관리, 물류피킹·포장·전산, 지게차운전",하루(1일),"일급 120,000원",경기 이천시 증포동,,상시모집,https://www.albamon.com/jobs/detail/119018200,2026-09-07 15:29:46
노브랜드버거 이마트울산점,★노브랜드버거 이마트울산점★ 함께 성장할 분 구합니다(매니저),"서빙, 일반음식점, 패스트푸드점",6개월~1년,"시급 12,000원",울산 북구 연암동,,상시모집,https://www.albamon.com/jobs/detail/118969649,2026-09-07 15:29:46
컴포즈커피 왕십리텐즈힐점,컴포즈커피 화수 마감 알바 모집,"바리스타, 커피전문점, 캐셔·카운터",6개월~1년,"시급 10,320원",서울 성동구 상왕십리동,,2026-09-15,https://www.albamon.com/jobs/detail/119045284,2026-09-07 15:29:46
No-Brand가평시장점,노브랜드 가평잣고을시장점 STAFF 모집,"매장관리·판매, 캐셔·카운터, 유통점·마트",3개월~6개월,"시급 11,500원",경기 가평군,,상시모집,https://www.albamon.com/jobs/detail/118972137,2026-09-07 15:29:46
인천석남,롯데리아 오전 오후 아르바이트생 모집,"주방보조·설거지, 패스트푸드점, 매장관리·판매",1년이상,"시급 10,320원",인천 서해구 석남동,,2026-09-15,https://www.albamon.com/jobs/detail/118779255,2026-09-07 15:29:46
투썸플레이스 서현로데오점,"투썸플레이스 직영 서현로데오점 평일,주말 마감 스탭 구인","바리스타, 커피전문점, 아이스크림·디저트",6개월~1년,"시급 10,400원",경기 성남시 분당구 구미1동,,상시모집,https://www.albamon.com/jobs/detail/118787809,2026-09-07 15:29:46
노브랜드버거 안성공도점,노브랜드버거 안성공도점에서 함께 근무할 주말 파트너 구합니다,패스트푸드점,3개월~6개월,"시급 10,320원",경기 안성시 공도읍,,상시모집,https://www.albamon.com/jobs/detail/119018199,2026-09-07 15:29:46
컴포즈커피 목동모세미점,목동 모세미점에서함께할 컴포즈 경력매니져 구인,"바리스타, 커피전문점, 캐셔·카운터",6개월~1년,"월급 2,200,000원",서울 양천구 목동,,상시모집,https://www.albamon.com/jobs/detail/118862937,2026-09-07 15:29:46
마루가메우동 잠실롯데월드몰점,"[시급 11,500원+특별수당 별도지급] 마루가메 우동 MATE 채용","주방보조·설거지, 일반음식점, 매장관리·판매",3개월~6개월,"시급 11,500원",서울 송파구,,상시모집,https://www.albamon.com/jobs/detail/118862936,2026-09-07 15:29:46
르엘캐슬갤러리점,[엔제리너스 르엘캐슬갤러리점] 요일무관 마감타임 직원 구합니다!,"바리스타, 커피전문점, 매장관리·판매",6개월~1년,"시급 10,320원",서울 광진구 군자동,,상시모집,https://www.albamon.com/jobs/detail/119039136,2026-09-07 15:29:46
투썸플레이스 CJENM커머스부문점,[직영점] 투썸플레이스 CJENM커머스부문점 평일 마감 STAFF 모집,"바리스타, 커피전문점, 아이스크림·디저트",3개월~6개월,"시급 10,400원",서울 관악구,,상시모집,https://www.albamon.com/jobs/detail/118810808,2026-09-07 15:29:46
리딩잡 주식회사,[동청주농협하나로마트]#추석단기#0915~0927#선착순마감#11.5,"매장관리·판매, 유통점·마트",1주일~1개월,"일급 115,000원",충북 청주시 상당구 미원면,,상시모집,https://www.albamon.com/jobs/detail/118884468,2026-09-07 15:29:46
㈜삼구FS,[일요일 고정 일당]용산 삼일교회 구내식당 주방보조 일당 모집,"주방보조·설거지, 급식·푸드시스템",1년이상,"일급 82,500원",서울 도봉구 쌍문동,,상시모집,https://www.albamon.com/jobs/detail/119045281,2026-09-07 15:29:46
NOPS 광화문점,"[시급 13,000원] 2026 NOPS 광화문점 파트타이머 채용공고","서빙, 주방장·조리사, 패밀리레스토랑",6개월~1년,"시급 13,000원",서울 종로구,,상시모집,https://www.albamon.com/jobs/detail/119031238,2026-09-07 15:29:46
군함맥주 동명점,군함맥주 동명점) 급여+대우 자신있습니다 주방실장 / 홀매니저 구합니다!,"서빙, 일반음식점, 호프·일반주점",6개월~1년,"월급 3,500,000원",전남광주 동구 장동,,상시모집,https://www.albamon.com/jobs/detail/118727941,2026-09-07 15:29:46
"㈜화성컴퍼니,당일지급",물류 식사제공 10-19시 피킹 포장 업무 13만원 당일지급 자차필수,"포장·품질검사, 물류피킹·포장·전산",1개월~3개월,"일급 130,000원",경기 안성시,,2026-09-26,https://www.albamon.com/jobs/detail/119020945,2026-09-07 15:29:46
롯데마트행당역,롯데리아 롯데마트 행당역점 메이트/주부사원님 모집합니다!(성별나이 무관),"주방보조·설거지, 패스트푸드점",1년이상,"시급 10,320원",서울 성동구 행당동,,상시모집,https://www.albamon.com/jobs/detail/118988215,2026-09-07 15:29:46
이마트 안동점,[이마트 안동점] 캐셔 주 5일 스태프 모집 (3개월 ~),"매장관리·판매, 유통점·마트, 농수산·청과·축산",3개월~6개월,"시급 11,500원",경북 안동시,,상시모집,https://www.albamon.com/jobs/detail/118988214,2026-09-07 15:29:46
㈜에스텍플러스,"[★연봉 4,000만원 이상/기혼자환영] 색조화장품 생산,포장 채용 모집","제조·가공·조립, 포장·품질검사, 생산·건설·노무 기타",1년이상,"월급 3,750,000원",경기 화성시 동탄구 반송동,,상시모집,https://www.albamon.com/jobs/detail/119031226,2026-09-07 15:29:46
주식회사 안목잠실,"[주말/야간수당,교통비 지급]미슐랭 안목 잠실 홀알바 모집","서빙, 일반음식점, 매장관리·판매",6개월~1년,"시급 12,000원",서울 송파구,,상시모집,https://www.albamon.com/jobs/detail/119045276,2026-09-07 15:29:46
"PCB CNC드릴 , 노광 , 에칭,정면, HPL,정면",LIG넥스원 협력사 방산 반도체 PCB 노광 에칭 동도금 CNC드릴 모집,"제조·가공·조립, 포장·품질검사, 반도체·전자부품생산",1년이상,"월급 3,500,000원",경기 안산시 단원구 성곡동,,상시모집,https://www.albamon.com/jobs/detail/119031214,2026-09-07 15:29:46
양옥주점,심야중식당 [양옥주점 마곡나루 본점] 수목 홀알바 모집,"서빙, 일반음식점, 호프·일반주점",6개월~1년,"시급 14,000원",서울 강서구 마곡동,,상시모집,https://www.albamon.com/jobs/detail/119031119,2026-09-07 15:29:46
R광양금광점,평일오후13-15시 투잡추천/광양알바/중마동알바/중마동편의점,"매장관리·판매, 캐셔·카운터, 편의점",3개월~6개월,"시급 10,320원",전남광주 광양시 중동,,상시모집,https://www.albamon.com/jobs/detail/119027624,2026-09-07 15:29:46
"워크365, 주간, 청라알바, 교과서파트",[당일지급/출근셔틀]교과서파트/꿀알바추천/주간8시/초보장기환영,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 144,700원",인천 서해구,,상시모집,https://www.albamon.com/jobs/detail/119020943,2026-09-07 15:29:46
송파문정,"이마트 24편의점 금,토 오후 11시~새벽 2시 알바 구합니다","매장관리·판매, 캐셔·카운터, 편의점",1개월~3개월,"시급 10,320원",서울 송파구 문정동,,상시모집,https://www.albamon.com/jobs/detail/119031224,2026-09-07 15:29:46
리딩잡 주식회사,[보은농협 하나로마트]#캐셔#주5일#초보가능#빠른채용,"매장관리·판매, 유통점·마트, 택배·배송기사",1년이상,"월급 2,156,880원",충북 보은군,,상시모집,https://www.albamon.com/jobs/detail/118871869,2026-09-07 15:29:46
노브랜드버거 마곡점,노브랜드버거 마곡점 평일마감 근무자 모집합니다,"서빙, 일반음식점, 패스트푸드점",6개월~1년,"시급 10,320원",서울 강서구 과해동,,상시모집,https://www.albamon.com/jobs/detail/118908998,2026-09-07 15:29:46
마루가메우동 잠실롯데월드몰점,"[시급 11,500원+특별수당 별도지급] 마루가메 우동 MATE 채용","주방보조·설거지, 일반음식점, 매장관리·판매",3개월~6개월,"시급 11,500원",서울 송파구,,상시모집,https://www.albamon.com/jobs/detail/118862932,2026-09-07 15:29:46
성남우편집중국,성남우편집중국 추석명절 단기 근로자 채용,"입출고·창고관리, 상하차·소화물 분류, 물류피킹·포장·전산",1주일~1개월,"시급 12,000원",경기 성남시 분당구 구미동,,2026-09-23,https://www.albamon.com/jobs/detail/118963912,2026-09-07 15:29:46
하남신장,[롯데리아 하남신장점] 오후 관리자 모집 [롯데리아 경력자만 모집합니다],"주방보조·설거지, 패스트푸드점",1년이상,"월급 3,000,000원",경기 하남시,,상시모집,https://www.albamon.com/jobs/detail/118940073,2026-09-07 15:29:46
맘스터치 마전점,맘스터치 마전점 직원및 파트알바 구인합니다.,"서빙, 주방보조·설거지, 패스트푸드점",6개월~1년,"월급 1,900,000원",인천 검단구,,상시모집,https://www.albamon.com/jobs/detail/119003818,2026-09-07 15:29:46
노브랜드버거 고속터미널점,[NBB 고속터미널] 버거만들고 묵직한 시급챙겨가세요 (오픈 미들파트),"외식·음료, 서빙, 패스트푸드점",3개월~6개월,"시급 13,884원",서울 성동구,,상시모집,https://www.albamon.com/jobs/detail/118995247,2026-09-07 15:29:46
R개금이진젠시티,"이마트24 R개금이진젠시티점 금,토 23시-8시","매장관리·판매, 캐셔·카운터, 편의점",6개월~1년,"시급 10,320원",부산 부산진구,,상시모집,https://www.albamon.com/jobs/detail/118853799,2026-09-07 15:29:46
㈜153로지스틱스,[군포물류센터 F동] 화장품 물류 지게차사원 정규직 채용(09-18시),"입출고·창고관리, 물류피킹·포장·전산, 지게차운전",1년이상,"연봉 32,000,000원",경기 의왕시,,상시모집,https://www.albamon.com/jobs/detail/119031221,2026-09-07 15:29:46
컴포즈커피 청주강서점,"컴포즈커피 청주강서점에서 평일, 주말 아르바이트 구합니다","바리스타, 커피전문점, 캐셔·카운터",1년이상,"시급 10,400원",충북 청주시 흥덕구,,2026-09-24,https://www.albamon.com/jobs/detail/118982605,2026-09-07 15:29:46
투썸플레이스 CJENM커머스부문점,[직영점] 투썸플레이스 CJENM커머스부문점 평일 마감 STAFF 모집,"바리스타, 커피전문점, 아이스크림·디저트",3개월~6개월,"시급 10,400원",서울 동작구,,상시모집,https://www.albamon.com/jobs/detail/118810792,2026-09-07 15:29:46
한성자동차 벤츠 대전서비스센터,[공휴일 휴무/워라벨] 벤츠 대전서비스센터 안내데스크 채용,"백화점·쇼핑몰, 전시·컨벤션·세미나, 안내데스크·리셉션",6개월~1년,"월급 2,337,510원",대전 중구,,2026-09-09,https://www.albamon.com/jobs/detail/119013103,2026-09-07 15:29:46
투썸플레이스 부산광복점,[직영] 투썸플레이스 부산광복점 미들&마감 스텝 채용,"바리스타, 커피전문점, 아이스크림·디저트",6개월~1년,"시급 10,400원",부산 중구 창선동1가,,상시모집,https://www.albamon.com/jobs/detail/118865620,2026-09-07 15:29:46
노브랜드버거 이마트울산점,★노브랜드버거 이마트울산점★ 함께 성장할 분 구합니다(매니저),"서빙, 일반음식점, 패스트푸드점",6개월~1년,"시급 12,000원",울산 북구 어물동,,상시모집,https://www.albamon.com/jobs/detail/118969635,2026-09-07 15:29:46
삼성/SK하이닉스/TSMC 1차협력사,★연봉6500만 가능★삼성/SK하이닉스 1차협력사★RF경력직 채용★,"제조·가공·조립, 기계조작·오퍼레이터, 정비·수리·설치·A/S",1년이상,"연봉 55,000,000원",경기 의왕시 내손동,,2026-09-27,https://www.albamon.com/jobs/detail/119027221,2026-09-07 15:29:46
㈜디에이피 안산사업장,"디에이피 안산/PCB 생산,검사/보일러기사/정규직/월352만/통근버스","제조·가공·조립, 포장·품질검사, 기계조작·오퍼레이터",1년이상,"월급 3,520,000원",경기 안산시 단원구,,상시모집,https://www.albamon.com/jobs/detail/119027220,2026-09-07 15:29:46
"주식회사 잡파트너 , 천안통근운행 , 바로출근가능",익일지급/지게차모집/피킹사원모집/안성생활용품 물류센터/천안통근/자차가능,"입출고·창고관리, 물류피킹·포장·전산, 지게차운전",1개월~3개월,"일급 130,000원",충남 천안시 서북구 두정동,,상시모집,https://www.albamon.com/jobs/detail/119027218,2026-09-07 15:29:46
삼구FS 오산공장,"식품생산/정규직/오산/주간,월280/남녀,초보가능/통근버스운행","패스트푸드점, 제조·가공·조립, 포장·품질검사",1년이상,"월급 2,800,000원",경기 오산시 원동,,상시모집,https://www.albamon.com/jobs/detail/119027217,2026-09-07 15:29:46
"주식회사 잡파트너 , 천안통근운행 , 바로출근가능",익일지급/고정자모집/지게차모집/피킹/포장/안성생활용품 물류센터 사원모집,"입출고·창고관리, 물류피킹·포장·전산, 지게차운전",1개월~3개월,"일급 130,000원",경기 오산시 원동,,상시모집,https://www.albamon.com/jobs/detail/119027216,2026-09-07 15:29:46
메가원탑PC신검단중앙역점,검단구 불로동 메가원탑 PC방-함께 성장할 직원 및 알바생 모집,"서빙, PC방, 매장관리·판매 기타",3개월~6개월,"시급 13,000원",인천 검단구 불로동,,상시모집,https://www.albamon.com/jobs/detail/119027209,2026-09-07 15:29:46
주식회사 아이케이,## 식자재 물류 센터 냉장 피킹인원 모집 ##,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",3개월~6개월,"일급 145,000원",경기 이천시,,상시모집,https://www.albamon.com/jobs/detail/119027167,2026-09-07 15:29:46
CJ 홈쇼핑물류,최대21만/당일지급/초보/동반/야간/소화물/단순업무/하루/일당/택배/상하,"포장·품질검사, 입출고·창고관리, 상하차·소화물 분류",1주일이하,"일급 219,300원",대구 동구 율하동,,2026-09-08,https://www.albamon.com/jobs/detail/119023862,2026-09-07 15:29:46
CJ 홈쇼핑물류,최대21만/당일지급/초보/동반/야간/소화물/단순업무/하루/일당/택배/상하,"포장·품질검사, 입출고·창고관리, 상하차·소화물 분류",하루(1일),"일급 219,300원",대전 동구 자양동,,2026-09-08,https://www.albamon.com/jobs/detail/119023860,2026-09-07 15:29:46
CJ 홈쇼핑물류,최대21만/당일지급/초보/동반/야간/소화물/단순업무/하루/일당/택배/상하,"포장·품질검사, 입출고·창고관리, 상하차·소화물 분류",하루(1일),"일급 219,300원",전북 익산시 영등동,,2026-09-08,https://www.albamon.com/jobs/detail/119023859,2026-09-07 15:29:46
CJ 홈쇼핑물류,최대21만/당일지급/초보/동반/야간/소화물/단순업무/하루/일당/택배/상하,"포장·품질검사, 입출고·창고관리, 상하차·소화물 분류",하루(1일),"일급 219,300원",경북 구미시 원평동,,2026-09-08,https://www.albamon.com/jobs/detail/119023857,2026-09-07 15:29:46
CJ 홈쇼핑물류,최대21만/당일지급/초보/동반/야간/소화물/단순업무/하루/일당/택배/상하,"포장·품질검사, 입출고·창고관리, 상하차·소화물 분류",하루(1일),"일급 219,300원",대구 달서구 용산동,,2026-09-08,https://www.albamon.com/jobs/detail/119023856,2026-09-07 15:29:46
CJ 홈쇼핑물류,최대21만/당일지급/초보/동반/야간/소화물/단순업무/하루/일당/택배/상하,"포장·품질검사, 입출고·창고관리, 상하차·소화물 분류",하루(1일),"일급 219,300원",전북 군산시 조촌동,,2026-09-08,https://www.albamon.com/jobs/detail/119023855,2026-09-07 15:29:46
CJ 홈쇼핑물류,최대21만/당일지급/초보/동반/야간/소화물/단순업무/하루/일당/택배/상하,"포장·품질검사, 입출고·창고관리, 상하차·소화물 분류",하루(1일),"일급 219,300원",전북 전주시 완산구 서신동,,2026-09-08,https://www.albamon.com/jobs/detail/119023854,2026-09-07 15:29:46
CJ 홈쇼핑물류,최대21만/당일지급/초보/동반/야간/소화물/단순업무/하루/일당/택배/상하,"포장·품질검사, 입출고·창고관리, 상하차·소화물 분류",하루(1일),"일급 219,300원",전남광주 서구 치평동,,2026-09-08,https://www.albamon.com/jobs/detail/119023853,2026-09-07 15:29:46
CJ 홈쇼핑물류,최대21만/당일지급/초보/동반/야간/소화물/단순업무/하루/일당/택배/상하,"포장·품질검사, 입출고·창고관리, 상하차·소화물 분류",하루(1일),"일급 219,300원",대전 중구 태평동,,2026-09-08,https://www.albamon.com/jobs/detail/119023852,2026-09-07 15:29:46
㈜컬리 마켓컬리/평택센터(평택마켓컬리/평택컬리),[컬리]평택컬리★추가지급 프로모션★시원한 센터~/물류 단순업무/단기,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 124,890원",경기 군포시 대야미동,,2026-09-27,https://www.albamon.com/jobs/detail/119016654,2026-09-07 15:29:46
㈜컬리 마켓컬리/평택센터(평택마켓컬리/평택컬리),[컬리]평택컬리★추가지급 프로모션★시원한 센터~/물류 단순업무/단기,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 124,890원",대전 대덕구 중리동,,2026-09-27,https://www.albamon.com/jobs/detail/119016653,2026-09-07 15:29:46
㈜컬리 마켓컬리/평택센터(평택마켓컬리/평택컬리),[컬리]평택컬리★추가지급 프로모션★시원한 센터~/물류 단순업무/단기,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 124,890원",대전 중구 은행동,,2026-09-27,https://www.albamon.com/jobs/detail/119016651,2026-09-07 15:29:46
㈜컬리 마켓컬리/평택센터(평택마켓컬리/평택컬리),[컬리]평택컬리★추가지급 프로모션★시원한 센터~/물류 단순업무/단기,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 124,890원",대전 서구 월평동,,2026-09-27,https://www.albamon.com/jobs/detail/119016650,2026-09-07 15:29:46
㈜컬리 마켓컬리/평택센터(평택마켓컬리/평택컬리),[컬리]평택컬리★추가지급 프로모션★시원한 센터~/물류 단순업무/단기,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 124,890원",대전 서구 용문동,,2026-09-27,https://www.albamon.com/jobs/detail/119016649,2026-09-07 15:29:46
㈜컬리 마켓컬리/평택센터(평택마켓컬리/평택컬리),[컬리]평택컬리★추가지급 프로모션★시원한 센터~/물류 단순업무/단기,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 124,890원",충남 서산시 수석동,,2026-09-27,https://www.albamon.com/jobs/detail/119016648,2026-09-07 15:29:46
㈜컬리 마켓컬리/평택센터(평택마켓컬리/평택컬리),[컬리]평택컬리★추가지급 프로모션★시원한 센터~/물류 단순업무/단기,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 124,890원",충남 아산시 음봉면,,2026-09-27,https://www.albamon.com/jobs/detail/119016647,2026-09-07 15:29:46
㈜컬리 마켓컬리/평택센터(평택마켓컬리/평택컬리),[컬리]평택컬리★추가지급 프로모션★시원한 센터~/물류 단순업무/단기,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 124,890원",충남 천안시 서북구 쌍용동,,2026-09-27,https://www.albamon.com/jobs/detail/119016646,2026-09-07 15:29:46
㈜컬리 마켓컬리/평택센터(평택마켓컬리/평택컬리),[컬리]평택컬리★추가지급 프로모션★시원한 센터~/물류 단순업무/단기,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 124,890원",충남 천안시 서북구 불당동,,2026-09-27,https://www.albamon.com/jobs/detail/119016645,2026-09-07 15:29:46
㈜컬리 마켓컬리/평택센터(평택마켓컬리/평택컬리),[컬리]평택컬리★추가지급 프로모션★시원한 센터~/물류 단순업무/단기,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",하루(1일),"일급 124,890원",경기 군포시 오금동,,2026-09-27,https://www.albamon.com/jobs/detail/119016644,2026-09-07 15:29:46
타이슨푸드코리아(유),★초보가능★자녀학자금 최대200만★월430만 / 파트다양 / 복지최고,"제조·가공·조립, 포장·품질검사, 생산·건설·노무 기타",1년이상,"월급 4,300,000원",충남 천안시 서북구 성환읍,,2026-09-26,https://www.albamon.com/jobs/detail/119000457,2026-09-07 15:29:46
쿠팡CFS 용인1센터,월최대313만원★쿠팡 열/포장/분류모집#초보/처음이신분OK::셔틀식사제공,"포장·품질검사, 입출고·창고관리, 지게차운전",6개월~1년,"월급 3,134,148원",경기 수원시 팔달구 매산로1가,,상시모집,https://www.albamon.com/jobs/detail/118996367,2026-09-07 15:29:46
백억커피 장안점,"장한평, 답십리) 백억커피 장안점 평일 미들 직원 모집합니다 !","바리스타, 커피전문점, 베이커리·도넛·떡",6개월~1년,"시급 12,384원",서울 동대문구 장안동,,상시모집,https://www.albamon.com/jobs/detail/118799042,2026-09-07 15:29:46
쿠팡CFS 용인1센터,월최대313만원★쿠팡 열/포장/분류모집#초보/처음이신분OK::셔틀식사제공,"포장·품질검사, 입출고·창고관리, 지게차운전",6개월~1년,"월급 3,134,148원",경기 용인시 처인구 역북동,,상시모집,https://www.albamon.com/jobs/detail/118996366,2026-09-07 15:29:46
쿠팡CFS 용인1센터,월최대313만원★쿠팡 열/포장/분류모집#초보/처음이신분OK::셔틀식사제공,"포장·품질검사, 입출고·창고관리, 지게차운전",6개월~1년,"월급 3,134,148원",서울 노원구 공릉동,,상시모집,https://www.albamon.com/jobs/detail/118996365,2026-09-07 15:29:46
쿠팡CFS 여주2센터,[딱2일 주말만] 토/일 주간 반품PC전산 업무 #워라밸/셔틀/식사제공,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",6개월~1년,"월급 931,550원",강원 춘천시 효자동,,상시모집,https://www.albamon.com/jobs/detail/118996364,2026-09-07 15:29:46
쿠팡CFS 여주2센터,[딱2일 주말만] 토/일 주간 반품PC전산 업무 #워라밸/셔틀/식사제공,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",6개월~1년,"월급 931,550원",강원 원주시 태장동,,상시모집,https://www.albamon.com/jobs/detail/118996363,2026-09-07 15:29:46
쿠팡CFS 여주2센터,[딱2일 주말만] 토/일 주간 반품PC전산 업무 #워라밸/셔틀/식사제공,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",6개월~1년,"월급 931,550원",강원 춘천시 후평동,,상시모집,https://www.albamon.com/jobs/detail/118996362,2026-09-07 15:29:46
쿠팡CFS 여주2센터,[딱2일 주말만] 토/일 주간 반품PC전산 업무 #워라밸/셔틀/식사제공,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",6개월~1년,"월급 931,550원",강원 원주시 단구동,,상시모집,https://www.albamon.com/jobs/detail/118996361,2026-09-07 15:29:46
R주안석바위,이마트24R주안석바위점 수.목요일 오후근무하실분 모집,"매장관리·판매, 캐셔·카운터, 편의점",6개월~1년,"시급 10,320원",인천 미추홀구 주안동,,상시모집,https://www.albamon.com/jobs/detail/118887824,2026-09-07 15:29:46
쿠팡CFS 여주1센터,월최대357만원★쿠팡 오더피커지게차 모집(주간/오후) 식사/출퇴근셔틀제공,"포장·품질검사, 입출고·창고관리, 지게차운전",6개월~1년,"월급 3,576,090원",경기 남양주시 오남읍,,상시모집,https://www.albamon.com/jobs/detail/118996359,2026-09-07 15:29:46
쿠팡CFS 여주1센터,월최대357만원★쿠팡 오더피커지게차 모집(주간/오후) 식사/출퇴근셔틀제공,"포장·품질검사, 입출고·창고관리, 지게차운전",6개월~1년,"월급 3,576,090원",강원 원주시 단구동,,상시모집,https://www.albamon.com/jobs/detail/118996357,2026-09-07 15:29:46
쿠팡CFS 서울1센터,서울장지쿠팡★ㅣ주말/주3일 선택해서 근무해요 #부담없이 시작#맞춤형계약직,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",6개월~1년,"월급 1,750,580원",서울 강남구 역삼동,,상시모집,https://www.albamon.com/jobs/detail/118996346,2026-09-07 15:29:46
쿠팡CFS 마장1센터,월최대294만원ㅣ진열.포장.분류ㅣ단순업무/초보가능/상하차x,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",6개월~1년,"월급 2,944,530원",서울 성북구 석관동,,상시모집,https://www.albamon.com/jobs/detail/118996341,2026-09-07 15:29:46
주식회사 만연에이치알,일 최대 19만원/한진택배/택배 상차하/당일지급,"입출고·창고관리, 상하차·소화물 분류, 물류피킹·포장·전산",하루(1일),"일급 175,700원",대전 유성구 장대동,,상시모집,https://www.albamon.com/jobs/detail/119013106,2026-09-07 15:29:46
주식회사 만연에이치알,일 최대 19만원/한진택배/택배 상차하/당일지급,"입출고·창고관리, 상하차·소화물 분류, 물류피킹·포장·전산",하루(1일),"일급 175,700원",대전 유성구 장대동,,상시모집,https://www.albamon.com/jobs/detail/119013104,2026-09-07 15:29:46
쿠팡CFS 마장1센터,월최대294만원ㅣ진열.포장.분류ㅣ단순업무/초보가능/상하차x,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",6개월~1년,"월급 2,944,530원",경기 남양주시 화도읍,,상시모집,https://www.albamon.com/jobs/detail/118996339,2026-09-07 15:29:46
명품 Boutique 매장 (대구 지역 백화점),[kering그룹]글로벌 명품 패션브랜드 대구 지역 백화점 판매사원 채용,"매장관리·판매, 백화점·쇼핑몰, 의류·잡화·쥬얼리매장",1년이상,"연봉 30,000,000원",대구 동구 신천동,,2026-09-26,https://www.albamon.com/jobs/detail/119013100,2026-09-07 15:29:46
친구랑같이 근무가능 / 초보자가능 / 주급가능,"첨단 삼성 가전제품 조립,검사 업무 / 단기환영 / 동반가능 / 통근O","서비스 기타, 제조·가공·조립, 포장·품질검사",6개월~1년,"월급 2,800,000원",전남광주 북구 오룡동,,상시모집,https://www.albamon.com/jobs/detail/119013102,2026-09-07 15:29:46
쿠팡CFS 동탄/용인센터,주2/주3/숏타임★맞춤 PICKㅣ여유시간/월급만들기#워라벨ㅣ식사셔틀제공★,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",6개월~1년,"월급 1,970,780원",경기 안양시 동안구 관양동,,상시모집,https://www.albamon.com/jobs/detail/118996305,2026-09-07 15:29:46
쿠팡CFS 동탄/용인센터,주2/주3/숏타임★맞춤 PICKㅣ여유시간/월급만들기#워라벨ㅣ식사셔틀제공★,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",6개월~1년,"월급 1,970,780원",서울 광진구 자양동,,상시모집,https://www.albamon.com/jobs/detail/118996304,2026-09-07 15:29:46
쿠팡CFS 동탄/용인센터,주2/주3/숏타임★맞춤 PICKㅣ여유시간/월급만들기#워라벨ㅣ식사셔틀제공★,"포장·품질검사, 입출고·창고관리, 물류피킹·포장·전산",6개월~1년,"월급 1,970,780원",서울 동작구 사당동,,상시모집,https://www.albamon.com/jobs/detail/118996303,2026-09-07 15:29:46
